uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",M,5
AC,OUTRAS,HOSPITAL,"< 9",F,17
AC,OUTRAS,HOSPITAL,"< 9",M,13
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,3
AC,COVID,HOSPITAL,"< 9",M,5
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,8
AC,PNEUMONIA,HOSPITAL,"< 9",M,8
AC,SEPTICEMIA,HOSPITAL,"< 9",F,9
AC,SEPTICEMIA,HOSPITAL,"< 9",M,19
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,6
AL,OUTRAS,DOMICILIO,"< 9",M,10
AL,OUTRAS,HOSPITAL,"< 9",F,83
AL,OUTRAS,HOSPITAL,"< 9",I,3
AL,OUTRAS,HOSPITAL,"< 9",M,85
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,COVID,HOSPITAL,"< 9",F,8
AL,COVID,HOSPITAL,"< 9",M,7
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,10
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,9
AL,PNEUMONIA,HOSPITAL,"< 9",M,3
AL,SEPTICEMIA,HOSPITAL,"< 9",F,26
AL,SEPTICEMIA,HOSPITAL,"< 9",M,38
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,2
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,16
AM,OUTRAS,DOMICILIO,"< 9",M,16
AM,OUTRAS,HOSPITAL,"< 9",F,97
AM,OUTRAS,HOSPITAL,"< 9",I,1
AM,OUTRAS,HOSPITAL,"< 9",M,181
AM,OUTRAS,IGNORADO,"< 9",M,2
AM,OUTRAS,OUTRO,"< 9",F,7
AM,OUTRAS,OUTRO,"< 9",M,12
AM,OUTRAS,VIA_PUBLICA,"< 9",F,1
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,8
AM,COVID,HOSPITAL,"< 9",M,13
AM,COVID,OUTRO,"< 9",F,3
AM,INDETERMINADA,DOMICILIO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
