"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",UBS MORADA DO SOL,MORADA - EQ3,329,true
"355030","01/2022",UBS J HELIAN,EQUIPE 02,2013,false
"355030","01/2022",UBS VILA DIONISIA,EQ. 7 - PRETA,3256,false
"355030","01/2022",UBS VILA ESPANHOLA,"001-AZUL",3365,false
"355030","01/2022",AMA UBS INTEGRADA MASSAGISTA MARIO AMERICO,"643 - EQUIPE VERDE",3315,false
"355030","01/2022",UBS SHANGRILA ELLUS,SHANGRILA ELLUS II,2254,false
"355030","01/2022",UBS VILA PIRITUBA,PIRITUBA - EQ5,2903,false
"355030","01/2022",AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA,VILA PREL 03 - PRATA,2862,false
"355030","01/2022",UBS J TIETE II,EQUIPE 2 - ROSA,4928,false
"355030","01/2022",UBS J SECKLER,"4532 - EQUIPE VERDE",5992,false
"355030","01/2022",AMA UBS JARDIM MIRNA,MIRNA VI,2684,false
"355030","01/2022",UBS ZUMBI DOS PALMARES,ZUMBI DOS PALMARES 5,3275,false
"355030","01/2022",UBS ZUMBI DOS PALMARES,ZUMBI DOS PALMARES 4,2841,false
"355030","01/2022",AMA UBS PQ FIGUEIRA GRANDE,FIGUEIRA GRANDE 5,3176,false
"355030","01/2022",UBS SAO REMO,ESF VERMELHA SAO REMO,3458,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM BRASIL,PRETA - MATO GROSSO,4250,false
"355030","01/2022",UBS JD SAO CARLOS CIDADE ADEMAR,SAO CARLOS 2,1314,false
"355030","01/2022",UBS GRAFICOS,EQUIPE II,3143,false
"355030","01/2022",UBS SANTO ELIAS,SANTO ELIAS - VERMELHA,4485,false
"355030","01/2022",UBS JARDIM MIRIAM II,UBS JD. MIRIAM II 3,1594,false
"355030","01/2022",UBS V STA CATARINA,"4307 EQUIPE 7 - VERMELHA",4019,false
"355030","01/2022",UBS PARQUE RESIDENCIAL COCAIA INDEPENDENTE,PQ.RES.COCAIA XIV,2164,false
"355030","01/2022",UBS MORRO DOCE,MORRO DOCE - APOIO,2756,false
"355030","01/2022",UBS INACIO MONTEIRO,EQUIPE IV,3550,false
"355030","01/2022",AMA UBS INTEGRADA PARQUE MARIA DOMITILA,DOMITILA - ROSA,3674,false
"355030","01/2022",UBS CRUZ DAS ALMAS,"046 - EQUIPE C 05 PSF",2054,false
"355030","01/2022",UBS J SOARES,EQUIPE 8 / SOARES,3339,false
"355030","01/2022",UBS J SOARES,EQUIPE 2 / SOARES,3529,false
"355030","01/2022",UBS V RAMOS DR LUIS AUGUSTO DE CAMPOS,VIOLETA,4375,false
"355030","01/2022",UBS J N SRA DO CARMO,EQUIPE 02,2549,false
"355030","01/2022",AMA UBS JARDIM ALFREDO,J ALFREDO 3,3354,false
